Ergebnisart;Datum;Uhrzeit;Soll Wahlbezirke;Ist Wahlbezirke;Satzart;Schlüsselnummer;Name;A - Wahlberechtigte;B - Wähler;E - Ungültige Zweitstimmen;F - Gültige Zweitstimmen;F01 - DIE LINKE;F02 - CDU;F03 - SPD;F04 - FDP;F05 - GRÜNE;F06 - PIRATEN;F07 - NPD;F08 - MLPD;F09 - AfD;F10 - pro Deutschland;F11 - FREIE WÄHLER;F12 - ÖDP;C - Ungültige Erststimmen;D - Gültige Erststimmen;D01 - DIE LINKE;D02 - CDU;D03 - SPD;D04 - FDP;D05 - GRÜNE;D06 - PIRATEN;D07 - NPD;D08 - MLPD;D09 - AfD;D11 - FREIE WÄHLER;D13 - Tierschutzpartei;D14 - Einzelbewerber;
V;22.09.2013;19:50;4;4;GEM;15084360;Stadt Nebra (Unstrut);2929;1546;36;1510;387;598;257;30;36;26;83;2;53;14;24;0;40;1506;447;603;238;23;27;28;93;;;43;;4;
V;22.09.2013;21:25;6;6;GEM;15084375;Stadt Osterfeld;2272;1379;26;1353;320;555;235;40;35;33;41;1;73;5;14;1;31;1348;342;596;218;23;41;31;61;;;14;;22;
V;22.09.2013;18:59;5;5;GEM;15084442;Gemeinde Schnaudertal;828;541;14;527;113;243;75;11;15;7;30;0;27;1;4;1;14;527;108;248;73;9;30;11;40;;;6;;2;
V;22.09.2013;19:19;1;1;GEM;15084445;Gemeinde Schönburg;850;519;5;514;103;248;63;24;12;7;14;0;34;2;7;0;10;509;112;271;56;15;18;9;16;;;12;;0;
V;22.09.2013;20:00;1;1;GEM;15084470;Stadt Stößen;806;418;3;415;100;172;69;11;11;6;12;0;24;2;8;0;3;415;112;185;66;5;12;4;15;;;12;;4;
V;22.09.2013;20:10;11;11;GEM;15084490;Stadt Teuchern;7336;3697;66;3631;895;1579;577;80;58;59;147;6;142;13;69;6;74;3623;965;1618;560;61;62;73;199;;;71;;14;
V;22.09.2013;21:06;33;33;GEM;15084550;Stadt Weißenfels;33254;17704;313;17391;4178;7126;3176;421;420;266;609;28;763;85;291;28;351;17353;4457;7755;2854;254;433;370;750;;;438;;42;
V;22.09.2013;19:19;2;2;GEM;15084560;Gemeinde Wethau;839;499;3;496;126;204;87;10;5;5;9;1;37;2;10;0;4;495;125;230;80;12;9;6;18;;;11;;4;
V;22.09.2013;19:10;3;3;GEM;15084565;Gemeinde Wetterzeube;1586;944;14;930;250;406;114;27;21;17;37;2;39;4;12;1;15;929;268;400;113;12;47;24;46;;;13;;6;
V;22.09.2013;21:06;25;25;GEM;15084590;Stadt Zeitz;26117;12739;233;12506;3224;5019;2146;270;404;206;451;17;545;52;155;17;230;12509;3264;4950;1908;172;1177;223;547;;;212;;56;
